supplier_id,supplier_name,contact_email,country,vat_number,onboarded_on,annual_spend,rating
SUP-0094,Wayne SL,contact@wayne-94.example.com,PT,PT546764927,2023-03-09,"116,345.71",A
SUP-0095,Acme S.p.A.,contact@acme-95.example.com,DE,DE634285220,2019-03-07,"381,220.50",D
SUP-0096,Stark SL,contact@stark-96.example.com,PT,PT337044391,2019-06-01,"263,581.21",B
SUP-0097,Tyrell AB,contact@tyrell-97.example.com,ES,ES632569142,2021-01-14,"716,589.93",B
SUP-0098,Cyberdyne BV,contact@cyberdyne-98.example.com,FR,FR79965345,2021-03-14,"92,248.22",D
SUP-0099,Umbrella S.p.A.,,PT,PT355775752,2022-10-05,"436,579.11",B
SUP-0100,Vandelay Oy,contact@vandelay-100.example.com,FR,FR884514559,2024-02-03,"270,338.11",B
SUP-0101,Vandelay BV,contact@vandelay-101.example.com,PT,PT392589112,2022-01-19,"646,481.26",B
SUP-0102,Northwind Ltd,contact@northwind-102.example.com,SE,SE560279285,2020-12-21,"386,519.70",B
SUP-0103,Cyberdyne AB,contact@cyberdyne-103.example.com,NL,NL904915536,2019-04-06,"389,726.87",D
SUP-0104,Tyrell Oy,contact@tyrell-104.example.com,IT,IT335711184,2023-06-23,"657,501.65",D
SUP-0105,Initech SL,contact@initech-105.example.com,NL,NL718002187,2019-07-25,"681,975.35",B
SUP-0106,Hooli SL,contact@hooli-106.example.com,IT,IT877261466,2020-12-10,"678,827.75",C
SUP-0107,Hooli GmbH,contact@hooli-107.example.com,PT,PT424441243,2021-03-30,"210,030.14",D
SUP-0108,Tyrell SL,contact@tyrell-108.example.com,ES,ES749370356,2021-06-08,"340,421.48",C
SUP-0109,Gringotts GmbH,contact@gringotts-109.example.com,PT,PT108090221,2021-12-23,"251,832.30",C
SUP-0110,Tyrell Oy,contact@tyrell-110.example.com,FR,FR759306167,2022-10-12,"102,129.94",C
SUP-0111,WAYNE GMBH,contact@wayne-5.example.com,NL,NL288994224,2019-04-05,"313,145.04",B
SUP-0112,stark  ab,contact@stark-19.example.com,NL,NL580768687,2019-10-03,"674,481.30",D
SUP-0113,Northwind S.BV,contact@northwind-38.example.com,SE,SE355856965,2022-02-13,"579,008.69",A
SUP-0114,  hooli sas ,contact@hooli-56.example.com,PT,PT636567844,2023-08-16,"118,682.65",C
SUP-0115,TyrellOy,contact@tyrell-72.example.com,IT,IT423693106,2023-12-05,"393,032.51",B
SUP-0116,Initech AB,contact@initech-116.example.com,ES,ES689144514,2024-01-04,"103,334.44",D
SUP-0117,Northwind AB,contact@northwind-117.example.com,PT,PT108183208,2023-07-18,"109,897.02",C
SUP-0118,Gringotts S.p.A.,contact@gringotts-118.example.com,BE,BE428851765,2019-01-18,"218,084.07",C
SUP-0119,Northwind Oy,contact@northwind-119.example.com,IT,IT699882693,2019-12-19,"116,482.50",B
SUP-0120,Tyrell SL,contact@tyrell-120.example.com,BE,BE481842677,2023-09-08,"249,338.48",A
